                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0332,                 3.8841,                 1.2521,                0.00748,                0.77914,                0.08304,                0.05287,                0.92434,                 3.5315,                 1.2895,               0.070789,              0.0032456,              0.0032456
                      2,                 1.0825,                 3.2293,                 1.2633,                0.08009,                0.34123,                0.08691,                0.05925,                 1.3083,                 3.3998,                 1.7047,               0.040768,              0.0065572,              0.0065572
                      3,                 1.1214,                 2.9634,                 1.2798,                0.12557,                0.12998,                0.10748,                0.07387,                 1.2294,                 3.1543,                 1.5881,               0.010724,              0.0098469,              0.0098469
                      4,                 1.1978,                 2.9445,                 1.3193,                0.10042,                0.23136,                0.08234,                 0.0432,                 1.6095,                 3.8892,                    1.9,               0.009901,               0.009901,               0.009901
                      5,                 1.2634,                 2.8854,                  1.352,                0.20342,                0.09418,                0.05356,                0.02936,                 1.6699,                 5.0301,                 2.3173,               0.009901,               0.009901,               0.009901
                      6,                 1.2432,                 2.8008,                 1.3672,                0.29731,                0.12461,                0.08209,                 0.0467,                 1.6661,                 6.6391,                 2.3659,               0.009868,               0.009868,               0.009868
                      7,                 1.1963,                 2.6544,                 1.3354,                0.11713,                 0.3261,                 0.1423,                0.08737,                 1.4234,                 3.2906,                 1.6171,               0.009835,               0.009835,               0.009835
                      8,                 1.2215,                 2.6101,                 1.3494,                 0.1709,                0.27335,                0.15998,                0.11067,                 1.4132,                 3.1843,                 1.6812,               0.009802,               0.009802,               0.009802
                      9,                 1.1874,                 2.5198,                 1.3148,                0.37666,                0.15067,                0.16736,                0.11403,                 1.3892,                 2.9337,                 1.6688,               0.009769,               0.009769,               0.009769
                     10,                 1.1654,                 2.4397,                 1.3165,                0.16042,                0.30968,                0.18732,                0.12191,                 1.2721,                 2.7964,                 1.5984,               0.009736,               0.009736,               0.009736
                     11,                 1.1515,                 2.3847,                 1.3016,                0.20579,                0.31169,                0.19735,                0.13209,                 1.2965,                 2.6091,                 1.5225,               0.009703,               0.009703,               0.009703
                     12,                 1.1296,                 2.2824,                 1.2787,                0.16619,                0.36396,                0.19443,                0.12792,                 1.3586,                 3.2858,                 1.6027,                0.00967,                0.00967,                0.00967
                     13,                 1.1074,                 2.2474,                 1.2671,                0.24653,                0.26495,                0.20258,                0.15049,                 1.4589,                 2.8633,                 1.6936,               0.009637,               0.009637,               0.009637
                     14,                 1.0965,                  2.212,                 1.2707,                0.20425,                0.32432,                0.22219,                0.15684,                 1.3062,                  2.689,                 1.5966,               0.009604,               0.009604,               0.009604
                     15,                 1.1002,                 2.1373,                 1.2691,                0.28608,                0.25294,                0.21603,                0.15267,                 1.3129,                 2.5747,                 1.5484,               0.009571,               0.009571,               0.009571
                     16,                 1.0872,                 2.1038,                 1.2682,                0.30789,                0.28429,                 0.2312,                0.15509,                 1.3502,                 2.4925,                 1.7196,               0.009538,               0.009538,               0.009538
                     17,                 1.0614,                 2.0181,                 1.2312,                 0.3211,                 0.3373,                0.30087,                0.21569,                 1.1469,                 2.5188,                 1.6292,               0.009505,               0.009505,               0.009505
                     18,                 1.0288,                 1.9486,                 1.2161,                0.31124,                0.32877,                0.32167,                0.22351,                 1.1823,                 2.2986,                 1.5301,               0.009472,               0.009472,               0.009472
                     19,                  1.018,                 1.9693,                 1.2245,                0.24409,                0.30044,                0.23553,                0.16519,                  1.198,                 2.4882,                 1.5021,               0.009439,               0.009439,               0.009439
                     20,                 1.0192,                 1.9381,                 1.2165,                0.24861,                0.48705,                0.32879,                0.22323,                 1.0942,                 2.1345,                 1.3672,               0.009406,               0.009406,               0.009406
                     21,                  1.009,                 1.9019,                 1.2154,                0.32022,                0.38135,                0.32519,                0.22946,                 1.1609,                  2.236,                 1.5194,               0.009373,               0.009373,               0.009373
                     22,                 1.0297,                 1.8738,                 1.2297,                0.29753,                 0.4797,                0.36864,                0.26417,                 1.1231,                 2.0457,                 1.4017,                0.00934,                0.00934,                0.00934
                     23,                 1.0096,                 1.8151,                  1.211,                0.31924,                0.36673,                0.33382,                0.22333,                 1.0602,                 2.3841,                 1.3369,               0.009307,               0.009307,               0.009307
                     24,                 1.0013,                 1.7906,                 1.1984,                0.25885,                 0.3828,                0.33991,                0.22952,                 1.1489,                 2.1991,                 1.4761,               0.009274,               0.009274,               0.009274
                     25,                0.99345,                 1.7631,                 1.2038,                0.32349,                0.42213,                0.36395,                0.26474,                 1.0895,                 2.4691,                 1.3969,               0.009241,               0.009241,               0.009241
                     26,                 1.0087,                 1.7381,                 1.1996,                0.49591,                0.27859,                0.34084,                0.25428,                 1.0902,                 2.0752,                 1.3731,               0.009208,               0.009208,               0.009208
