                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0602,                 3.0862,                 1.2319,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070024,              0.0033307,              0.0033307
                      2,                 1.0969,                 2.4079,                 1.2393,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.040002,               0.006642,               0.006642
                      3,                 1.1766,                 2.3663,                 1.2893,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0099579,              0.0099314,              0.0099314
                      4,                 1.2145,                 2.3596,                 1.3252,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009901,               0.009901,               0.009901
                      5,                 1.1386,                 2.1504,                 1.2755,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009901,               0.009901,               0.009901
                      6,                 1.0739,                 1.9677,                 1.2336,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009868,               0.009868,               0.009868
                      7,                 1.0374,                 1.8422,                 1.2164,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009835,               0.009835,               0.009835
                      8,                0.99892,                  1.715,                 1.1913,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009802,               0.009802,               0.009802
                      9,                0.97103,                 1.6307,                 1.1742,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009769,               0.009769,               0.009769
                     10,                0.94931,                 1.5529,                 1.1615,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009736,               0.009736,               0.009736
                     11,                0.92458,                 1.4833,                 1.1472,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009703,               0.009703,               0.009703
                     12,                0.90836,                 1.4255,                  1.135,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00967,                0.00967,                0.00967
                     13,                0.89647,                 1.3679,                   1.13,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009637,               0.009637,               0.009637
                     14,                0.88451,                 1.3246,                 1.1222,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009604,               0.009604,               0.009604
                     15,                0.86744,                 1.2702,                 1.1114,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009571,               0.009571,               0.009571
                     16,                0.84947,                 1.2338,                 1.1002,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009538,               0.009538,               0.009538
                     17,                0.84215,                 1.2126,                 1.0984,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009505,               0.009505,               0.009505
                     18,                0.83124,                 1.1806,                 1.0938,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009472,               0.009472,               0.009472
                     19,                0.82183,                 1.1515,                 1.0859,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009439,               0.009439,               0.009439
                     20,                0.81506,                 1.1189,                 1.0818,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009406,               0.009406,               0.009406
                     21,                0.80861,                 1.1064,                 1.0791,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009373,               0.009373,               0.009373
                     22,                0.79994,                  1.085,                 1.0751,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00934,                0.00934,                0.00934
                     23,                0.79076,                 1.0552,                 1.0667,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009307,               0.009307,               0.009307
                     24,                0.78407,                  1.047,                 1.0652,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009274,               0.009274,               0.009274
                     25,                0.78326,                 1.0277,                 1.0634,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009241,               0.009241,               0.009241
                     26,                0.77519,                 1.0166,                 1.0571,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009208,               0.009208,               0.009208
                     27,                0.77059,                 1.0039,                 1.0553,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009175,               0.009175,               0.009175
                     28,                0.76493,                0.97926,                 1.0527,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.009142,               0.009142,               0.009142
